Directorate,Type of Expenditure,Supplier,£
Adult & Community Services,Dir Pymts ACS/CSC,Stepping On Out,"1,510.98"
Environment,Agency Staff,D A Butler T/A G.B. (Plant),"1,510.50"
Adult & Community Services,Home Care,"Care Uk Homecare,Connaught House","1,508.99"
Environment,Internal Workshop,A C Van Santen & Son Ltd,"1,501.00"
Environment,Highway Materials,ASD Metal Services Limited,"1,500.00"
Adult & Community Services,Software Licences,Covalent Software Ltd.,"1,500.00"
Childrens' & Cultural Services,Grants Volunt Orgs,Scamps,"1,494.00"
Environment,Agency Staff,D R NOLANS & CO,"1,492.50"
Childrens' & Cultural Services,Respite Care,Nas Services Ltd,"1,487.94"
Environment,Typesetting,R C Jennings T/A Adam Studios,"1,485.00"
Adult & Community Services,Home Care,Strand Nurses Bureau T/A Advantage,"1,483.66"
Adult & Community Services,Conference Expenses,C I P F A,"1,480.00"
Environment,Load of Cullet/Rcycl,J C Dean Haulage Ltd,"1,475.52"
Environment,Minor Contract Payme,NHS Richmond and Twickenham,"1,470.00"
Environment,Energy - Gas,Kent County Council(Kcs),"1,466.02"
Childrens' & Cultural Services,Schools Equipment,EML Installations Ltd,"1,462.25"
Adult & Community Services,Re-ablement,Taylor Gordon & Co T/A,"1,456.19"
Childrens' & Cultural Services,Schools Catering,Sodexo Education Services Ltd,"1,450.80"
Childrens' & Cultural Services,Schools Catering,Sodexo Education Services Ltd,"1,450.80"
Finance & Corporate Services,Employee Training Ex,Sage Blue Limited,"1,450.00"
Finance & Corporate Services,Miscellaneous Expens,Plum Duff,"1,449.20"
Childrens' & Cultural Services,Asylum Seekers - PA,Astons,"1,444.50"
Childrens' & Cultural Services,Asylum Seekers - PA,Astons,"1,444.50"
Childrens' & Cultural Services,Asylum Seekers - PA,Astons,"1,444.50"
Adult & Community Services,Home Care,Chrysalis Community Care Ltd,"1,441.34"
Finance & Corporate Services,Miscellaneous Expens,Plum Duff,"1,440.00"
Childrens' & Cultural Services,Public Transport,Ruth Hutton,"1,440.00"
Adult & Community Services,Respite Care,CRNH LTD,"1,439.95"
Adult & Community Services,Re-ablement,Chrysalis Community Care Ltd,"1,435.09"
Childrens' & Cultural Services,Agency Staff,Oakleaf Partnership Limited,"1,430.51"
Adult & Community Services,Home Care,Safe Start Foundation,"1,425.00"
Adult & Community Services,Re-ablement,Chrysalis Community Care Ltd,"1,423.48"
Finance & Corporate Services,Doctors Fees,Dr Sarah  Foddy,"1,422.40"
Adult & Community Services,Home Care,Chrysalis Community Care Ltd,"1,417.79"
Adult & Community Services,Home Care,Allied Healthcare Group Ltd,"1,414.50"
Environment,Street Lighting 3/4,David Webster Limited,"1,413.80"
Childrens' & Cultural Services,Independent Foster,Safehouses,"1,408.85"
Environment,External Printing,Close Invoice Finance Limited,"1,406.75"
Adult & Community Services,Schools Computer,Tunstall Telecom Limited,"1,406.16"
Finance & Corporate Services,Doctors Fees,Dr Sarah  Foddy,"1,403.90"
Environment,Landlord Service,Savills Commercial Ltd,"1,403.45"
Adult & Community Services,Residential Care,Michael Yoakley's Charity,"1,401.76"
Adult & Community Services,External Consultants,S1R1PEN Limited,"1,400.00"
Childrens' & Cultural Services,Local Activities,Duncan McDade,"1,400.00"
Adult & Community Services,Miscellaneous Expens,AJB Public Sector Consulting Ltd,"1,400.00"
Housing,Rent rebates for B&B,Euro Hotels (Hounslow] Ltd,"1,400.00"
Environment,property Maintenance,Professional Refurbishment Co Ltd,"1,391.62"
Environment,Landlord Service,Savills Commercial Ltd,"1,389.77"
Environment,Property Maintenance,Building Automation Solutions Ltd,"1,383.25"
Adult & Community Services,Home Care,Chrysalis Community Care Ltd,"1,380.68"
Finance & Corporate Services,External Consultants,Kpmg Fees Account,"1,375.00"
Childrens' & Cultural Services,Miscellaneous Expens,RICHMOND YOUTH PARTNERSHIP,"1,375.00"
Childrens' & Cultural Services,Miscellaneous Expens,Cyan Group Ltd,"1,362.92"
Childrens' & Cultural Services,Security,Chubb Emergency Response,"1,362.57"
Finance & Corporate Services,External Consultants,Optimus Consultants (UK) Ltd,"1,360.00"
Finance & Corporate Services,Minor Contract Payme,London Pension Fund Authority,"1,359.11"
Childrens' & Cultural Services,Furniture & Equipmen,Jenx Ltd,"1,359.00"
Adult & Community Services,Respite Care,Alpha Health Care Limited,"1,355.59"
Environment,Window Cleaning,L.P Window Controls Ltd,"1,354.60"
Adult & Community Services,Asylum Seekers - PA,WOODLANDS ESTATES,"1,350.00"
Childrens' & Cultural Services,Comms Data Lines,Virgin Media Payments Ltd T/A,"1,350.00"
Childrens' & Cultural Services,Grants Volunt Orgs,Kew College,"1,350.00"
Childrens' & Cultural Services,Residential Care,Active Serve Ltd,"1,349.99"
Childrens' & Cultural Services,Rents Payable,Richmond Housing Partnership,"1,349.79"
Adult & Community Services,Home Care,Strand Nurses Bureau T/A Advantage,"1,344.92"
Childrens' & Cultural Services,Rents Payable,ST.CHRISTOPHER'S FELLOWSHIP,"1,339.36"
Environment,Internal Workshop,Challenger Commercial Vehicle,"1,336.41"
Childrens' & Cultural Services,Energy - Electricity,Kent County Council(Kcs),"1,317.37"
Environment,Agency Staff,D A Butler T/A G.B. (Plant),"1,315.50"
Childrens' & Cultural Services,Other Materials,Bertram Library Services,"1,314.26"
Childrens' & Cultural Services,CSC Grnt fnding serv,Building Blocks Childcare Limited,"1,310.00"
Childrens' & Cultural Services,CSC Grnt fnding serv,Jellie Tots Pre-School,"1,310.00"
Childrens' & Cultural Services,CSC Grnt fnding serv,Lambsmead Nurseries(Meadowview),"1,310.00"
Childrens' & Cultural Services,CSC Grnt fnding serv,Langham Nursery,"1,310.00"
Childrens' & Cultural Services,CSC Grnt fnding serv,Lowther Primary School,"1,310.00"
Childrens' & Cultural Services,CSC Grnt fnding serv,Swedish School,"1,310.00"
Childrens' & Cultural Services,Fostering Other Expe,Excess Baggage Company,"1,305.00"
Finance & Corporate Services,Miscellaneous Expens,Plum Duff,"1,302.80"
Childrens' & Cultural Services,Contrib to Provs,Sodexo Education Services Ltd,"1,302.13"
Childrens' & Cultural Services,Swimming Pool Maint,Brenntag UK Limited,"1,302.00"
Environment,Postage,Royal Mail Group Ltd,"1,301.76"
Childrens' & Cultural Services,CSC Grnt fnding serv,Playwise Ltd,"1,300.00"
Childrens' & Cultural Services,CSC Grnt fnding serv,Playwise Ltd,"1,300.00"
Environment,Legal Fees,AFFORDABLE 106,"1,300.00"
Childrens' & Cultural Services,Asylum Seekers - PA,Astons,"1,299.60"
Childrens' & Cultural Services,Asylum Seekers - PA,Astons,"1,299.60"
Childrens' & Cultural Services,Rents Payable,Astons,"1,299.60"
Childrens' & Cultural Services,Rents Payable,Astons,"1,299.60"
Childrens' & Cultural Services,Rents Payable,Astons,"1,299.60"
Adult & Community Services,Residential Care,DORMERS WELLS LODGE LTD,"1,299.29"
Childrens' & Cultural Services,Publicity Expenses,The Whole Hog,"1,298.38"
Adult & Community Services,Rents Payable,Richmond Housing Partnership,"1,288.82"
Environment,Load of Cullet/Rcycl,RON SMITH RECYCLING LIMITED,"1,280.58"
Childrens' & Cultural Services,Other Materials,Bertram Library Services,"1,277.71"
Adult & Community Services,Home Care,Chrysalis Community Care Ltd,"1,272.29"
Housing,Rent rebates for B&B,Euro Hotels (Hounslow] Ltd,"1,270.00"
Childrens' & Cultural Services,Grants Volunt Orgs,Greenacres Day Nursery,"1,260.00"
Housing,Rent rebates for B&B,Euro Hotels (Hounslow] Ltd,"1,260.00"
Childrens' & Cultural Services,Other Materials,Bertram Library Services,"1,257.83"
Adult & Community Services,Home Care,Allied Healthcare Group Ltd,"1,251.20"
Adult & Community Services,Nursing Care,Royal Star & Garter Home,"1,240.04"
Environment,Water Rates,Thames Water Utilities Limited,"1,237.68"
Childrens' & Cultural Services,Brought Professional,Psychology Services Ltd,"1,236.00"
Adult & Community Services,Home Care,Allied Healthcare Group Ltd,"1,228.60"
Childrens' & Cultural Services,Local Activities,Brenscombe Outdoor Centre Ltd,"1,221.70"
Environment,CPZ Zone Extensions,F M Conway Limited,"1,214.44"
Housing,Reactive Maint (DSO),Oakmarket Group Ltd,"1,213.26"
Childrens' & Cultural Services,Miscellaneous Client,SIRON Ltd Jamma Umoja,"1,212.75"
Adult & Community Services,Day Care,Choice Ltd,"1,211.98"
Adult & Community Services,Day Care,Choice Ltd,"1,211.98"
Adult & Community Services,Day Care,Choice Ltd,"1,211.98"
Adult & Community Services,Day Care,Choice Ltd,"1,211.98"
Adult & Community Services,Day Care,Choice Ltd,"1,211.98"
Environment,Energy - Gas,Kent County Council(Kcs),"1,202.94"
Childrens' & Cultural Services,Brought Professional,Rachel Craddock,"1,200.00"
Environment,Minor Contract Payme,G & W Auto Recovery Service Ltd,"1,200.00"
Adult & Community Services,Miscellaneous Expens,Royal Borough Of Kingston,"1,200.00"
Childrens' & Cultural Services,Comms Data Lines,Virgin Media Payments Ltd T/A,"1,195.00"
Childrens' & Cultural Services,Rents Payable,ST.CHRISTOPHER'S FELLOWSHIP,"1,194.48"
Childrens' & Cultural Services,Rents Payable,ST.CHRISTOPHER'S FELLOWSHIP,"1,194.48"
Adult & Community Services,Re-ablement,Taylor Gordon & Co T/A,"1,189.81"
Environment,CPZ Zone Extensions,F M Conway Limited,"1,189.13"
Adult & Community Services,Respite Care,Malmesbury House,"1,182.00"
Adult & Community Services,Home Care,Crossroads Care,"1,179.37"
Adult & Community Services,Home Care,Crossroads Care,"1,179.37"
Adult & Community Services,Home Care,Allied Healthcare Group Ltd,"1,175.70"
Adult & Community Services,Home Care,Allied Healthcare Group Ltd,"1,175.70"
Childrens' & Cultural Services,Grants Volunt Orgs,Kew Out of School Club,"1,168.70"
Adult & Community Services,Day Care,Craegmoor Facilities Company,"1,162.40"
Environment,Minor Contract Payme,T Mohan & Co Ltd,"1,162.00"
Adult & Community Services,Residential Care,Royal Mencap Society,"1,159.89"
Childrens' & Cultural Services,Purchase of Admin Se,KA Wilson Ltd,"1,150.00"
Environment,Grounds Maintenance,Veolia ES (UK) Limited,"1,144.43"
Adult & Community Services,Home Care,Crossroads Care,"1,142.19"
Housing,Brought Professional,Hinton Medical Ltd,"1,141.45"
Childrens' & Cultural Services,Rents Payable,Richmond Housing Partnership,"1,140.49"
Childrens' & Cultural Services,Other Materials,DF20 Limited,"1,138.00"
Housing,Energy - Gas,Kent County Council(Kcs),"1,135.43"
Environment,Vehicle Workshop,GEESINK NORBA LTD,"1,132.78"
Adult & Community Services,Nursing Care,Royal Star & Garter Home,"1,131.77"
Childrens' & Cultural Services,Brought Professional,Building Blocks Childcare Limited,"1,130.00"
Adult & Community Services,Nursing Care,Royal Star & Garter Home,"1,129.20"
Adult & Community Services,Residential Care,Sons Of Divine Providence,"1,125.00"
Childrens' & Cultural Services,Brought Professional,Fleet Tutors,"1,120.00"
Housing,Rent rebates for B&B,Euro Hotels (Hounslow] Ltd,"1,120.00"
Adult & Community Services,Home Care,Enara Community Care,"1,115.45"
Childrens' & Cultural Services,Rents Payable,Richmond Housing Partnership,"1,114.23"
Finance & Corporate Services,Minor Contract Payme,London Pension Fund Authority,"1,103.68"
Environment,property Maintenance,Gemini Electrical Supplies,"1,101.67"
Childrens' & Cultural Services,Publicity Expenses,We Made This Limited,"1,100.00"
Childrens' & Cultural Services,Rents Payable,FOXTONS,"1,100.00"
Adult & Community Services,Home Care,Enara Community Care,"1,099.94"
Adult & Community Services,Energy - Electricity,EDF Energy 1 Ltd,"1,096.30"
Finance & Corporate Services,Furniture & Equipmen,Cummins-Allison Ltd.,"1,095.00"
Adult & Community Services,Home Care,Crossroads Care,"1,094.37"
Childrens' & Cultural Services,Brought Professional,Kidsunlimited Limited,"1,090.78"
Adult & Community Services,Home Care,Allied Healthcare Group Ltd,"1,088.93"
Housing,Brought Professional,EDM GROUP LIMITED,"1,088.03"
Adult & Community Services,Home Care,Supporta Care Limited,"1,087.81"
Environment,Water Rates,Thames Water Utilities Limited,"1,087.29"
Environment,Furniture & Equipmen,Richmond Housing Partnership,"1,082.47"
Adult & Community Services,Home Care,Supporta Care Limited,"1,082.23"
Childrens' & Cultural Services,Brought Professional,Megan Dowsett,"1,080.00"
Housing,Vehicle Licences,The Performing Right Society Ltd,"1,080.00"
Childrens' & Cultural Services,Rents Payable,Astons,"1,071.30"
Environment,Minor Contract Payme,G & W Auto Recovery Service Ltd,"1,070.00"
Environment,Property Maintenance,First Fire Services Ltd,"1,065.00"
Environment,Vehicular Crossing,VOLKERHIGHWAYS LTD,"1,060.21"
Finance & Corporate Services,Miscellaneous Expens,CORPS OF COMMISSIONAIRES,"1,057.91"
Childrens' & Cultural Services,External Premises HC,Springhealth Leisure Plc,"1,050.00"
Childrens' & Cultural Services,Fostering Other Expe,Caldecott Foundation ltd,"1,050.00"
Environment,Non Central Phones,Bt Plc,"1,050.00"
Environment,Non Central Phones,Bt Plc,"1,050.00"
Housing,Rent rebates for B&B,Euro Hotels (Hounslow] Ltd,"1,050.00"
Adult & Community Services,Home Care,Enara Community Care,"1,040.89"
Housing,Assessible Trans Ser,Silverburn Finance UK Ltd,"1,040.00"
Housing,Assessible Trans Ser,V B Hughes & Son Ltd,"1,040.00"
Finance & Corporate Services,Agency Staff,Cashfriday Ltd,"1,039.84"
Environment,Vehicle Spares,Challenger Commercial Vehicle,"1,038.36"
Adult & Community Services,Day Care,Sons Of Divine Providence,"1,036.64"
Environment,property Maintenance,K & A Construction,"1,030.69"
Environment,property Maintenance,K & A Construction,"1,030.40"
Adult & Community Services,Home Care,Supporta Care Limited,"1,029.23"
Adult & Community Services,Home Care,Careforce,"1,024.99"
Childrens' & Cultural Services,Other Materials,R B S Invoice Finance Limited,"1,023.12"
Environment,Minor Contract Payme,Frontier-Pitts Limited,"1,020.00"
Environment,Vehicle Workshop,Dennis Eagle Ltd,"1,015.32"
Childrens' & Cultural Services,CSC Grnt fnding serv,Diane Broomhead,"1,015.00"
Childrens' & Cultural Services,Other Materials,Bertram Library Services,"1,008.39"
Environment,Landlord Service,Marston Properties Limited,"1,002.00"
Childrens' & Cultural Services,Brought Professional,Tradewind Recruitment,"1,000.00"
Childrens' & Cultural Services,Brought Professional,Tradewind Recruitment,"1,000.00"
Childrens' & Cultural Services,Brought Professional,Tradewind Recruitment,"1,000.00"
Childrens' & Cultural Services,CSC Grnt fnding serv,The Foundation Stage Forum Ltd,"1,000.00"
Childrens' & Cultural Services,Employee Training Ex,Coaching Development Ltd,"1,000.00"
Childrens' & Cultural Services,Employee Training Ex,Coaching Development Ltd,"1,000.00"
Environment,Employee Training Ex,London Development Agency,"1,000.00"
Childrens' & Cultural Services,External Consultants,Salina Somalya,"1,000.00"
Housing,External Consultants,Housing & Law Consultancy,"1,000.00"
Childrens' & Cultural Services,Project Expenses,Spear,"1,000.00"
Environment,Purchase-Diesel Fuel,RECYCLED BIODIESEL LIMITED,"1,000.00"
Childrens' & Cultural Services,Rents Payable,FOXTONS,"1,000.00"
Adult & Community Services,Respite Care,Slough Borough Council,996.56
Finance & Corporate Services,Publicity Expenses,Kelly Media Ltd,995.00
Environment,Energy - Electricity,Kent County Council(Kcs),994.13
Adult & Community Services,Home Care,Enara Community Care,993.31
Adult & Community Services,Home Care,Enara Community Care,991.82
Childrens' & Cultural Services,Sports Coaching,Carlie Aimakhu,988.00
Adult & Community Services,Home Care,Eleanor Nursing and Social Care Ltd,987.88
Childrens' & Cultural Services,Energy - Gas,Kent County Council(Kcs),985.95
Adult & Community Services,Day Care,The Home Farm Trust Ltd,983.68
Childrens' & Cultural Services,Awards / Prizes,World Of Service UK,980.93
Environment,Highway Materials,Tarmac Roadstone Southern Ltd,975.08
Adult & Community Services,Residential Care,The IEE Benevolent Fund,972.79
Childrens' & Cultural Services,Postage,Post Office  Ltd,971.00
Environment,CPZ Zone Extensions,F M Conway Limited,970.99
Environment,Minor Contract Payme,F M Conway Limited,970.99
Environment,PDQ Machine Charges,COBALT TELEPHONE TECHNOLOGIES,963.74
Childrens' & Cultural Services,Energy - Electricity,EDF Energy 1 Ltd,960.39
Childrens' & Cultural Services,Brought Professional,Heather Burgess,960.00
Environment,property Maintenance,K & A Construction,960.00
Adult & Community Services,Home Care,Enara Community Care,954.93
Childrens' & Cultural Services,Agency Staff,Oakleaf Partnership Limited,953.67
Environment,Highway Salt,Salt Union Ltd,952.02
Childrens' & Cultural Services,Stationery & Office,PCS Business Systems Ltd,951.00
Environment,Street Lighting 3/4,David Webster Limited,950.28
Childrens' & Cultural Services,Agency Supply Teache,Tradewind Recruitment,950.00
Childrens' & Cultural Services,Agency Supply Teache,Tradewind Recruitment,950.00
Childrens' & Cultural Services,Agency Supply Teache,Tradewind Recruitment,950.00
Childrens' & Cultural Services,Agency Supply Teache,Tradewind Recruitment,950.00
Childrens' & Cultural Services,Agency Supply Teache,Tradewind Recruitment,950.00
Childrens' & Cultural Services,Agency Supply Teache,Tradewind Recruitment,950.00
Childrens' & Cultural Services,Agency Supply Teache,Tradewind Recruitment,950.00
Childrens' & Cultural Services,Agency Supply Teache,Tradewind Recruitment,950.00
Childrens' & Cultural Services,Agency Supply Teache,Tradewind Recruitment,950.00
Childrens' & Cultural Services,Agency Supply Teache,Tradewind Recruitment,950.00
Childrens' & Cultural Services,Agency Supply Teache,Tradewind Recruitment,950.00
Childrens' & Cultural Services,Agency Supply Teache,Tradewind Recruitment,950.00
Childrens' & Cultural Services,Agency Supply Teache,Tradewind Recruitment,950.00
Childrens' & Cultural Services,Agency Supply Teache,Tradewind Recruitment,950.00
Childrens' & Cultural Services,Agency Supply Teache,Tradewind Recruitment,950.00
Childrens' & Cultural Services,Agency Supply Teache,Tradewind Recruitment,950.00
Childrens' & Cultural Services,Agency Supply Teache,Tradewind Recruitment,950.00
Childrens' & Cultural Services,Agency Supply Teache,Tradewind Recruitment,950.00
Childrens' & Cultural Services,Agency Supply Teache,Tradewind Recruitment,950.00
Environment,Load of Cullet/Rcycl,RON SMITH RECYCLING LIMITED,950.00
Environment,Other Materials,Efergy Limited,950.00
Childrens' & Cultural Services,Rents Payable,FOXTONS,950.00
Childrens' & Cultural Services,Rents Payable,FOXTONS,950.00
Housing,Software Licences,IBS OPENSystems (UK) Ltd.,950.00
Environment,Internal Workshop,Clive Barford Ltd,948.12
Adult & Community Services,Energy - Gas,Kent County Council,945.33
Childrens' & Cultural Services,Agency Supply Teache,Academics Limited,945.00
Childrens' & Cultural Services,Agency Supply Teache,Academics Limited,945.00
Childrens' & Cultural Services,Agency Supply Teache,Academics Limited,945.00
Environment,Vehicle Hire,L & F PLANT HIRE T/A TIPPERHIRE,945.00
Environment,Cleaning Contract,Greenham Trading Ltd,944.12
Childrens' & Cultural Services,Brought Professional,Trust Education Ltd,944.00
Childrens' & Cultural Services,Brought Professional,Trust Education Ltd,944.00
Childrens' & Cultural Services,Brought Professional,Trust Education Ltd,944.00
Housing,Brought Professional,EDM GROUP LIMITED,943.14
Adult & Community Services,Home Care,Careforce,941.36
Childrens' & Cultural Services,Miscellaneous Expens,Sacred Heart R. C. School,939.33
Adult & Community Services,Home Care,Allied Healthcare Group Ltd,939.20
Adult & Community Services,Home Care,Allied Healthcare Group Ltd,939.20
Adult & Community Services,Home Care,Allied Healthcare Group Ltd,939.20
Adult & Community Services,Home Care,Allied Healthcare Group Ltd,939.20
Adult & Community Services,Home Care,Allied Healthcare Group Ltd,939.20
Childrens' & Cultural Services,Sports Coaching,PWP SPORTSBASE LTD,934.56
Adult & Community Services,Respite Care,Alpha Health Care Limited,931.97
Childrens' & Cultural Services,Rents Payable,View Property Solutions Ltd,930.00
Childrens' & Cultural Services,Furniture & Equipmen,Mortlake Community Association,928.16
Environment,Furniture & Equipmen,A C Van Santen & Son Ltd,927.00
Environment,Vehicle Hire,John Hanlon & Company Ltd,923.08
Environment,Vehicle Hire,John Hanlon & Company Ltd,923.08
Environment,Vehicle Hire,John Hanlon & Company Ltd,923.08
Environment,Vehicle Hire,John Hanlon & Company Ltd,923.08
Environment,Load of Cullet/Rcycl,RON SMITH RECYCLING LIMITED,922.50
Childrens' & Cultural Services,Rents Payable,FOXTONS,920.00
Childrens' & Cultural Services,Rents Payable,Spectrum Consultant Limited,920.00
Adult & Community Services,Home Care,Crossroads Care,913.75
Finance & Corporate Services,External Consultants,Accero UK Ltd,913.54
Adult & Community Services,Residential Care,Royal Mencap Society,911.67
Adult & Community Services,Employee Training,The British Institute of Learning,910.63
Finance & Corporate Services,Software Licences,Civica Services Ltd,910.10
Housing,Rent rebates for B&B,Euro Hotels (Hounslow] Ltd,910.00
Housing,Rent rebates for B&B,Euro Hotels (Hounslow] Ltd,910.00
Childrens' & Cultural Services,Rents Payable,FOXTONS,910.00
Childrens' & Cultural Services,London Grid Contract,London Grid For Learning,906.53
Environment,Vehicle Workshop,Fuchs Lubricants (UK) plc,900.77
Childrens' & Cultural Services,Asylum Seekers Sub,West Thames College,900.00
Childrens' & Cultural Services,Brought Professional,LUCY BEAUMONT,900.00
Childrens' & Cultural Services,Miscellaneous Expens,The Tavistock and Portman NHS Trust,900.00
Childrens' & Cultural Services,Rents Payable,FOXTONS,900.00
Adult & Community Services,Residential Care,Sons Of Divine Providence,900.00
Adult & Community Services,Residential Care,Sons Of Divine Providence,900.00
Childrens' & Cultural Services,16+ Education Provis,Richmond Adult Community College,896.48
Childrens' & Cultural Services,Energy - Gas,EDF Energy 1 Ltd,896.00
Childrens' & Cultural Services,Miscellaneous Expens,Club Row Creations Ltd,895.70
Environment,Subscriptions,RICS BOOKS,895.00
Environment,Vehicle Spares,Abbey Transmission Services Ltd,895.00
Adult & Community Services,Home Care,Allied Healthcare Group Ltd,894.56
Adult & Community Services,Home Care,Allied Healthcare Group Ltd,894.56
Adult & Community Services,Home Care,Allied Healthcare Group Ltd,894.56
Adult & Community Services,Home Care,Allied Healthcare Group Ltd,894.56
Childrens' & Cultural Services,CSC Grnt fnding serv,Richmond Childminding Group,894.00
Childrens' & Cultural Services,Energy - Electricity,EDF Energy 1 Ltd,888.66
Childrens' & Cultural Services,Miscellaneous Client,Treetops Nurseries Ltd,888.12
Childrens' & Cultural Services,Local Activities,S. Andrews T/A Skills 4 Work Ltd,888.00
Environment,Street Lighting 3/4,David Webster Limited,886.28
Adult & Community Services,Home Care,Chrysalis Community Care Ltd,882.31
Adult & Community Services,Residential Care,Royal Mencap Society,882.25
Childrens' & Cultural Services,Employee Training Ex,National Driving Centre,880.00
Childrens' & Cultural Services,Energy - Electricity,EDF Energy 1 Ltd,879.27
Childrens' & Cultural Services,Central Telephones,Christopher Rainbow,875.00
Finance & Corporate Services,Employee Training Ex,Levelheaded,875.00
Childrens' & Cultural Services,Miscellaneous Client,Treetops Nurseries Ltd,871.00
Childrens' & Cultural Services,Miscellaneous Client,Treetops Nurseries Ltd,871.00
Environment,Vehicle Workshop,Municipal Engineering 2000 Ltd,869.74
Housing,Rent rebates for B&B,Rockwood Estates Ltd,868.00
Housing,Rent rebates for B&B,Rockwood Estates Ltd,868.00
Environment,Vehicle Workshop,Dennis Eagle Ltd,866.38
Environment,Vehicle Hire,John Hanlon & Company Ltd,865.00
Childrens' & Cultural Services,Agency Staff,IndePenDent Business Services Ltd,860.00
Adult & Community Services,Burial Fees,Wake & Paine,860.00
Housing,Rent rebates for B&B,Euro Hotels (Hounslow] Ltd,860.00
Environment,Typesetting,R C Jennings T/A Adam Studios,860.00
Environment,Minor Contract Payme,Frontier-Pitts Limited,857.31
Adult & Community Services,Residential Care,Hampton Care Ltd,857.14
Adult & Community Services,Respite Care,Hampton Care Ltd,857.14
Childrens' & Cultural Services,External Consultants,Proactive Recruitment,855.00
Childrens' & Cultural Services,External Consultants,Proactive Recruitment,855.00
Childrens' & Cultural Services,External Consultants,Proactive Recruitment,855.00
Childrens' & Cultural Services,External Consultants,Proactive Recruitment,855.00
Childrens' & Cultural Services,Miscellaneous Expens,Proactive Recruitment,855.00
Childrens' & Cultural Services,Miscellaneous Expens,Proactive Recruitment,855.00
Adult & Community Services,Energy - Electricity,EDF Energy 1 Ltd,853.62
Housing,Assessible Trans Ser,Sherwood Transport Limited,850.00
Housing,Assessible Trans Ser,Sherwood Transport Limited,850.00
Childrens' & Cultural Services,External Consultants,Gallagher-1 Limited,850.00
Childrens' & Cultural Services,External Consultants,Gallagher-1 Limited,850.00
Adult & Community Services,External Consultants,Strategic Commissioning,850.00
Housing,Miscellaneous Client,The Salvation Army,850.00
Adult & Community Services,Miscellaneous Expens,Kingston & Richmond Law Centre,850.00
Childrens' & Cultural Services,Respite Care,Crossroads Care,850.00
Adult & Community Services,Home Care,Allied Healthcare Group Ltd,843.36
Adult & Community Services,Home Care,Allied Healthcare Group Ltd,843.36
Adult & Community Services,Home Care,Allied Healthcare Group Ltd,843.36
Adult & Community Services,Home Care,Allied Healthcare Group Ltd,843.36
Adult & Community Services,Home Care,Allied Healthcare Group Ltd,843.36
Environment,Lcl Develop Frmwrk,C E N Services Ltd,841.00
Housing,Rent rebates for B&B,Euro Hotels (Hounslow] Ltd,840.00
Housing,Rent rebates for B&B,Euro Hotels (Hounslow] Ltd,840.00
Housing,Rent rebates for B&B,Euro Hotels (Hounslow] Ltd,840.00
Housing,Rent rebates for B&B,Euro Hotels (Hounslow] Ltd,840.00
Housing,Rent rebates for B&B,Euro Hotels (Hounslow] Ltd,840.00
Housing,Rent rebates for B&B,Euro Hotels (Hounslow] Ltd,840.00
Childrens' & Cultural Services,External Consultants,Ecclestons Ltd,839.29
Housing,Rent rebates for B&B,Rockwood Estates Ltd,833.00
Environment,Property Main-Progam,Kaner Olette Architects,832.31
Environment,Vehicle Spares,Challenger Commercial Vehicle,830.00
Environment,Photocopier Expenses,Ricoh UK Limited,829.17
Finance & Corporate Services,Employee Training Ex,Phil & Friends Ltd,828.00
Childrens' & Cultural Services,Library Books,Ulverscroft Large Print Books Ltd,818.64
Childrens' & Cultural Services,Energy - Electricity,Kent County Council(Kcs),815.57
Childrens' & Cultural Services,Software Licences,Atomwide Ltd,815.48
Adult & Community Services,Home Care,Careforce,815.18
Childrens' & Cultural Services,Other Materials,Bertram Library Services,814.74
Adult & Community Services,Home Care,Careforce,812.54
Environment,Vehicle Workshop,Dennis Eagle Ltd,812.41
Adult & Community Services,Home Care,Chrysalis Community Care Ltd,810.37
Environment,External Printing,Aston Colour Press Ltd.,810.00
Childrens' & Cultural Services,Sports Coaching,Carlie Aimakhu,806.00
Finance & Corporate Services,Security,Loomis UK Ltd,805.55
Childrens' & Cultural Services,Translation/Interpre,London Borough of Hounslow,805.00
Childrens' & Cultural Services,Local Activities,Brenscombe Outdoor Centre Ltd,804.52
Environment,Non Central Phones,Bt Plc,802.13
Environment,Stationery & Office,Paper and Office Solutions Limited,802.07
Childrens' & Cultural Services,Brought Professional,Gwen Clelland T/A Smiley Faces Ltd,800.00
Childrens' & Cultural Services,External Consultants,Robert Hylton,800.00
Adult & Community Services,Home Care,Safe Start Foundation,800.00
Housing,Reactive Maint (DSO),PR Coaches Ltd,800.00
Housing,Reactive Maint (DSO),PR Coaches Ltd,800.00
Housing,Reactive Maint (DSO),PR Coaches Ltd,800.00
Housing,Reactive Maint (DSO),PR Coaches Ltd,800.00
Childrens' & Cultural Services,Rents Payable,FOXTONS,800.00
Environment,Vehicle Hire,Fiveways Municipal Vehicle Hire Ltd,800.00
Environment,Vehicle Hire,Fiveways Municipal Vehicle Hire Ltd,800.00
Environment,Vehicle Hire,Fiveways Municipal Vehicle Hire Ltd,800.00
Environment,Vehicle Hire,Fiveways Municipal Vehicle Hire Ltd,800.00
Environment,Vehicle Hire,Fiveways Municipal Vehicle Hire Ltd,800.00
Environment,Vehicle Hire,Fiveways Municipal Vehicle Hire Ltd,800.00
Environment,Vehicle Hire,Fiveways Municipal Vehicle Hire Ltd,800.00
